A.手工操作	B.单道批处理	C多道批处理	D.多用户分时系统 
A.编译程序	B.数据库管理程序	C游戏程序	D.OS 
A.单道程序	B.磁盘	C对象	D.多道程序 
A.系统的效率	B.用户的方便性	C可移植	D.可扩充性 
A.单用户单任务	B.多道批处理系统	C单用户多任务	D.多用户分时系统 
A.打印机	B.中断机构	C软盘	D.鼠标 
A.目态	B.浏览器中	C任意的时间	D.进程调度中 
A.编译器	B.DBMS	COS	D.浏览器 
A.CPU与外设	B.内存与外设	CCPU与主存	D.外设与外设 
A.进程管理、存储器管理、设备管理、处理机管理	B.虚拟存储管理、处理机管理、进程调度、文件系统	C处理机管理、存储器管理、设备管理、文件系统	D.进程管理、中断管理、设备管理、文件系统 
A.处理机操作和通道操作是并行的	B.程序与程序	C主程序与子程序	D.用户程序与操作系统程序 
A.目态	B.浏览器中	C任意时间	D.系统态 
A.管理计算机硬盘	B.对程序进行编译	C实现虚拟存储器	D.删除文件 
A.多用户分时系统	B.实时系统	C批处理系统时间	D.网络操作系统 
A.硬件	B.软件	C计算机资源	D.应用程序 
A.实时性	B.交互性	C共享性	D.运行效率 
A.实时性	B.交互性	C共享性	D.运行效率 
A.及时性	B.交互性	C共享性	D.运行效率 
A.并行性	B.透明性	C共享性	D.复杂性 
A.网络	B.分布式	C分时	D.实时 
A.用户数越少	B.用户数越多	C内存越小	D.内存越大 
A.1	B.2 	C3	D.4 
A.OS是系统资源管理程序	B.OS是为用户提供服务的程序	COS是其他软件的支撑程序	D.OS是系统态程序的集合 
A.程序的运行结果不确定	B.程序的运行次序不确定	C程序多次运行的时间不确定	D.A、B和C 
A.程序执行的间断性	B.相互通信的可能性	C产生死锁的必然性	D.资源分配的动态性 
A.并发性是指若干事件在同一时刻发生	B.并发性是指若干事件在不同时刻发生	C并发性是指若干事件在同一时间间隔发生	D.并发性是指若干事件在不同时间间隔发生 
A.更大的内存	B.更多的外设	C更快的CPU	D.更先进的终端 
A.进程被调度程序选中	B.时间片到	C等待某一事件	D.等待的事件发生 
A.就绪态→运行态	B.运行态→就绪态	C运行态→阻塞态	D.阻塞态→运行态 
A.建立一个PC	BB.作业调度程序为进程分配	CPUC为进程分配内存等资源	D.将PCB链入进程就绪队列 
A.进程通过进程调度程序而获得CPU	B.优先级是进行进程调度的重要依据，一旦确定不能改变	C在单CPU系统中，任一时刻都有1个进程处于运行状态	D.进程申请CPU得不到满足时，其状态变为等待状态 
A.I/O管理	B.文件管理	C处理机管理	D.存储器管理 
A.一次I/O操作结束	B.运行进程需作I/O操作	C运行进程结束	D.出现了比现运行进程优先权更高的进程 
A.由就绪变运行	B.由运行变就绪	C由阻塞变运行	D.由阻塞变就绪 
A.一个进程由睡眠变就绪	B.几个进程由睡眠变就绪	C一个进程由睡眠变运行	D.几个进程由睡眠变运行 
A.Suspend	B.Ative	C.BloCk	D.Wakeup 
A.线程	B.进程	C程序	D.作业 
A.由协处理机执行的一个程序	B.一个独立的程序+数据集	CPCB结构与程序和数据的组合	D.一个独立的程序 
A.进程是在多程序并行环境中的完整的程序	B.进程可以由程序、数据和进程控制描述	C线程是一种特殊的进程	D.进程是程序在一个数据集合上运行的过程，它是系统进行资源分配和调度的一个独立单位 
A.线程是比进程更小的能独立运行的基本单位	B.引入线程可提高程序并发执行的程度，可进一步提高系统效率	C线程的引入增加了程序执行时时空开销	D.一个进程一定包含多个线程 
A.不论是系统支持线程还是用户级线程，其切换都需要内核的支持	B.线程是资源的分配单位，进程是调度和分配的单位	C不管系统中是否有线程，进程都是拥S有资源的独立单位	D.在引入线程的系统中，进程仍是资源分配和调度分派的基本单位 
A.引入线程后，处理机只在线程间切换	B.引入线程后，处理机仍在进程间切换	C线程的切换，不会引起进程的切换	D.线程的切换，可能引起进程的切换 
A.JCB	B.PCB	C.AFT	D.SFT 
A.程序员的命令	B.系统服务	C等待下一个时间片到来	D."合作"进程的唤醒 
A.创立	B.解挂	C阻塞	D.挂起 
A.就绪	B.执行	C阻塞	D.挂起 
A.一个PBC	B.一个JCB	C.多个PCB	D.一个程序 
A.－1	B.0	C1	D.任意值 
A.临界资源是非共享资源	B.临界资源是任意共享资源	C临界资源是互斥共享资源	D.临界资源是同时共享资源 
A.互斥的进入临界区	B.互斥的进入各自的临界区	C互斥的进入同一临界区	D.互斥的进入各自的同类资源临界区 
A.一个进程进入了临界区，另一个进程等待	B.没有一个进程进入临界区	C两个进程都进入临界区	D.两个进程都在等待 
A.一个进程进入了临界区，另一个进程等待	B.没有一个进程进入临界区	C两个进程都进入临界区	D.两个进程都在等待 
A.＞0	B.＜0 	C≥0	D.≤0 
A.＞0	B.＜0 	C≥0	D.≤0 
A.4	B.3	C5	D.0 
A.3，2，1，0	B.3，2，1，0，－1	C4，3，2，1，0	D.2，1，0，－1，－2 
A.0	B.1 	C2	D.3 
A.彼此无关	B.必须同步	C必须互斥	D.可能需要同步或互斥 
A.必定无关	B.必定相关	C可能相关	D.相关程度相同 
A.为进程分配处理机	B.使信号量的值变小	C可用于进程的同步	D.使进程进入阻塞状态 
A.系统处于不安全状态时一定会发生死锁	B.系统处于不安全状态时可能会发生死锁	C系统处于安全状态时可能会发生死锁	D.系统处于安全状态时一定会发生死锁 
A.Max[i,j]= AlloCation[i,j]+Need[i,j]	B.Need[i,j]= Max[i,j]- Allo	Cation[i,j]CMax[i,j]= AlloCation[i,j]-Need[i,j]	D.Need[i,j]= Max[i,j]+AlloCation[i,j] 
A.非强占式静态优先权法	B.强占式静态优先权法	C时间片轮转调度算法	D.非强占式动态优先权法 
A.剥夺资源法	B.资源分配图简化法	C资源随意分配	D.银行家算法 
A.银行家算法	B.消进程法	C资源静态分配法	D.资源分配图简化法 
A.剥夺资源法	B.资源分配图简化法	C银行家算法	D.资源静态分配法 
A.先来先服务调度算法	B.短作业优先调度算法	C时间片轮转调度算法	D.优先权调度算法 
A.先来先服务调度算法	B.短作业优先调度算法	C时间片轮转调度算法	D.长作业优先调度算法 
A.周转时间	B.响应时间	C等待调度时间	D.运行时间 
A.互斥条件	B.请求和保持条件	C不可剥夺条件	D.环路等待条件 
A.页表(页表寄存器)	B.快表	C存储键	D.索引动态重定 
A.加载	B.重定位	C物理化	D.逻辑化 
A.集中空闲区	B.增加主存容量	C缩短访问时间	D.加速地址转换 
A.减少程序占用的主存空间	B.物理上扩充主存容量	C提高CPU效率	D.代码在主存中共享 
A.单一连续区	B.可变分区存储管理	C段式存储管理	D.段页式存储管理 
A.地址分配	B.地址映射	C地址保护	D.地址越界 
A.始地址从小到大排序	B.始地址从大到小排序	C块的大小从小到大排序	D.块的大小从大到小排序 
A.首次适应法	B.最佳适应法	C最坏适应法	D.循环首次适应法 
A.1024KB	B.1024MB	C10GB	D.10GB+1MB 
A.链指针占用了大量的空间	B.分配空间时可能需要一定的查链时间	C不好实现"首次适应法"	D.不好实现"最佳适应法" 
A.ROM	B.RAM	CCPU	D.虚拟存储器 
A.分区中的块比分页中的页要小	B.分页有地址映射而分区没有	C分页有存储保护而分区没有	D.分区要求一道程序存放在连续的空间内而分页没有这种要求 
A.程序编译时	B.程序链接时	C程序装入时	D.程序运行时 
A.防止存储器硬件受损	B.防止程序在内存丢失	C防止程序间相互越界访问	D.防止程序被人偷看 
A.可重入的	B.可定位的	C可动态链接的	D.可静态链接的 
A.虚存分逻辑地址和物理地址，实存不分	B.实存要求一程序在内存必须连续，虚存不需要连续的内存	C实存要求一程序全部装入内存才开始运行，虚存允许程序在执行的过程中逐步装入	D.虚存以逻辑地址执行程序，实存以物理地址执行程序 
A.程序和数据是在开始执行前一次性装入的	B.产生缺页中断一定要淘汰一个页面	C一个淘汰的页面一定要写回外存	D.在页表中要有"中断位"、"访问位"等信息 
A.在最近的过去用得少的在最近的将来也用得少	B.在最近的过去用得多的在最近的将来也用得多	C在最近的过去很久未使用的在最近的将来会使用	D.在最近的过去很久未使用的在最近的将来也不会使用 
A.要求程序运行前必须全部装入内存且在运行过程中一直驻留在内存	B.要求程序运行前不必全部装入内存且在运行过程中不必一直驻留在内存	C要求程序运行前不必全部装入内存但是在运行过程中必须一直驻留在内存	D.要求程序运行前必须全部装入内存但在运行过程中不必一直驻留在内存 
A.页面置换	B.内存分配	C页面换出	D.页面调入 
A.页面置换	B.内存分配	C页面换出	D.页面调入 
A.页面置换	B.内存分配	C页面换出	D.页面调入 
